CollegeName,TotalRegistrations
RAVINDRA COLLEGE OF ENGINEERING FOR WOMEN,1
SRI KAALAHASTISWARA INSTITUTE OF INFORMATION AND MANAGEMENT SCIENCES,1
B V RAJU INSTITUTE OF SCIENCE AND TECHNOLOGY,1
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY ANANTAPUR,1
AEROSTAR ENGINEERING,1
AURORA SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,1
"GITAM INSTITUTE OF TECHNOLOGY , VISAKHAPATNAM",1
PSCMR,1
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN,1
GOVERNMENT COLLEGE AUTONOMOUS RAJAHMUNDRY,1
KASIREDDY NARAYANREDDY COLLEGE OF ENGINEERING AND RESEARCH,1
GITAM DEEMED UNIVERSITY HYDERABAD,1
GURUNANAK ENGINEER,1
ANGLIA RUSKIN UNIVERSITY,1
QUEEN MARY UNIVERSITY OF LONDON ( GRADUATE ),1
VIGNANS INSTITUTE OF INFORMATION TECHNOLOGY (A),1
KENT STATE UNIVERSITY,1
DR.MGR,1
RAJIV GANDHI UNIVERSITY KF KNOWLEDGR AND TECHNOLOGY,1
MALINENI LAKSHMAIAH WOMEN'S ENGINEERING COLLGE,1
VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING,1
GEETHAJALI COLLEGE OF ENGINEERING AND TECHNOLOGY,1
"VALLURUPALLI NAGESWARA RAO VIGNANA JYOTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY (VNRVJIET),JNTUH",1
B.V.RAJU COLLEGE,1
"GURU NANAK INSTITUTIONS TECHNICAL CAMPUS, HYDERABAD",1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY BASAR,1
CHAITANYA INSTITUTE OF TECHNOLOGY AND SCIENCE,1
SATHYABAMA,1
PALAR AGRICULTURAL COLLEGE,1
VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING COLLAGE,1
SIR C R REDDY ENGINEERING COLLEGE OF ENGINEERING,1
SPHN,1
EADA BUSINESS SCHOOL,1
G PULLAIAH COLLEGE OF ENGINEERING AND TECHNOLOGY,1
UNH,1
R.V.R & J.C. COLLEGE OF ENGINEERING,1
TELANGANA MAHILA UNIVERSITY,1
"JNTU,HYDERABAD",1
SIR C.R.REDDY COLLEGE OF ENGINEERING ELURU,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR",1
PROFESSOR JAYASHANKAR TELANGANA STATE AGRICULTURAL UNIVERSITY,1
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR,1
DVR &DR.HS MIC COLLEGE OF TECHNOLOGY,1
MALLAREDDY INSTITUTE OF TECHNOLOGY AND SCIENCES,1
THE ICFAI UNIVERSITY RAIPUR,1
SRI INDU INSTITUTE OF MANAGEMENT,1
SRI VENKATESHWARA COLLEGE OF ENGINEERING,1
NAGARJUNA UNIVERSITY UNIVERSITY CAMPUS GUNTUR,1
IIIT SONEPAT,1
PVP SIDDHARTH INSTITUTE OF TECHNOLOGY,1
GOKARAJU LAITHAVATHI ENGINEERING COLLEGE,1
VASIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY (VVIT),1
COLLEGE- KPRIT,1
TALLA PADMAVATHI COLLEGE OF ENGINEERING,1
JNTU(VBIT),1
PALADUGU PARVATHI DEVI COLLEGE OF ENGINEERING AND TECHNOLOGY,1
ROBERT MORRIS UNIVERSITY,1
GIET UNIVERSITY,1
ASRITHAKROTHA@GMAIL.COM,1
NATIONAL INSTITUTE OF TECHNOLOGY MEGHALAYA,1
VIGNAN'S INSTITUTE OF ENGINEERING FOR WOMEN,1
C R RAO AIMSCS,1
JEPPIAAR INSTITUTE OF TECHNOLOGY,1
RMK COLLEGE OF ENGINEERING AND TECHNOLOGY,1
GEORGE MASON UNIVERSITY,1
DIABSOLUT,1
VELLORE INSTITUTE OF TECHNOLOGY AMARAVATI,1
ANURAG ENGINEER COLLEGE,1
OKLAHOMA STATE UNIVERSITY,1
KALASALINGAM,1
WUST,1
DR MGR EDUCATIONAL AND RESEARCH INSTITUTE,1
VIGNANA JYOTHI INSTUTITE OF ARTS AND SCIENCE,1
JAYPEE UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1
SRU UNVERISY,1
IIIT VADODARA INTERNATIONAL CAMPUS DIU,1
GURUNANAK INSTITUTION OF TECHNOLOGY,1
GURUKUL KANGRI UNIVERSITY,1
CHAITANYA DEEMED TOBE UNIVERSITY,1
NBKR INSTITUTE OF SCIENCE AND TECHNOLOY,1
SUVEGA TECHNOLOGIES PVT LTD,1
"UNIVERSITY OF MARYLAND, BALTIMORE COUNTY",1
CMR ENGINEERING COLLAGE,1
UNIVERSITY OF FINDLAY,1
KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,1
COMMUNITY DREAMS FOUNDATION,1
"BALAJI INSTITUTE OF TECHNOLOGY AND SCIENCES, WARANGAL.",1
SRI CHAITANYA INSTITUTE OF TECHNOLOGY SCIENCES,1
VELLORE INSITUTE OF TECHNOLOGY,1
AVN INSTITUTION OF ENGINEERING AND TECHNOLOGY,1
TKR COLLEGE OF ENGINEERING ANDTECHNOLOGY,1
SRI KRISHNA DEVARAYA COLLEGE OF ENGINEERING AND TECHNOLOGY,1
PRIYADRASINI INSTITUTE OF TECHNOLOGY AND SCIENCE,1
JNTU ANATHAPUR,1
CARNEGIE MELLON UNIVERSITY AFRICA,1
UNIVERSITY OF MISSOURI,1
RV UNIVERSITY,1
POTTI SRIRAMULU CHALVADI MALLIKARJUNA RAO COLLEGE OF ENGINEERING AND TECHNOLOGY,1
SOUTHEAST STATE UNIVERSITY,1
SS&C,1
SIVA SIVANI INSTITUTE OF MANAGEMENT,1
INSTAGRAM,1
"UNIVERSITY OF BEDFORDSHIRE, UNITED KINGDOM",1
NAPIER HEALTH CARE,1
ANDHRA LOYOLA COLLEGE,1
NATIONAL INSTITUTE OF TECHNOLOGY SURATHKAL,1
GARDEN CITY UNIVERSITY,1
NIAT,1
OLD BRIDGE HIGH SCHOOL,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY RK VALLEY,1
"CVR COLLEGE OF ENGINEERING, JNTUH",1
SRKR BHIMAVARAM,1
D.N.R COLLEGE OF ENGINEERING AND TECHNOLOGY,1
PONNAIYAH RAMAJAYAM INSTITUTE OF SCIENCE AND TECHNOLOGY,1
LAKIREDDYBALIREDDY COLLEGE OF ENGINEERING,1
ESWAR COLLEGE OF ENGINEERING,1
KNRR,1
IIIT SRIKAKULAM,1
VASIREDDY VENKTADRI INSTITUTE OF TECHNOLOGY,1
INKPROG TECHNOLOGIES,1
MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY,1
IVY (ENTAIN PLC),1
BV RAJU COLLEGE,1
VIGANA DEGREE COLLEGE,1
MASTERJI DEGREE AND PG COLLEGE,1
P.S.V COLLEGE OF ENGINEERING AND TECHNOLOGY,1
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN(KAKATIYA UNIVERSITY),1
"UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY MAHATMA GANDHI UNIVERSITY, NALGONDA",1
VIGNAN DEGREE AND PG COLLEGE,1
TURING,1
"B.V.RAJU COLLEGE, BHIMAVARAM",1
CIT,1
LENDI INSTITUE OF ENGINEERING AND TECHNOLOGY,1
GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES (A),1
"MATURI VENKATA SUBBA RAO (MVSR) ENGINEERING COLLEGE, HYDERABAD",1
ASPIRING ENTREPRENEUR,1
VIGNANA INSTITUTE OF INFORMATION TECHNOLOGY,1
ACT FIBERNET,1
VIGNAN INSTITUTE OF MANAGEMENT AND TECHNOLOGY FOR WOMEN,1
VIGNAN INSTIUTE OF INFORMATION TECHNOLOGY,1
"AMRITA VISHWA VIDYAPEETHAM, KOLLAM, KERALA",1
AIAT,1
LITTLE FLOWERS DEGREE COLLEGE,1
SANA ENGINEERING COLLEGE,1
SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY & MANAGEMENT (SMVITM),1
FERGUSON CENTRE FOR HIGHER LEARNING,1
H MEDIA NETWORKS INDIA PVT LTD,1
JNTUH COLLEGE OF ENGINEERING MANTHWNI,1
IIIT SRI CITY,1
MOTHER THERESA DEGREE COLLEGE,1
"UNIVERSITY COLLEGE OF SCIENCE, SAIFABAD",1
VIVEKANANDA INSTITUTE OF TECHNOLOGY,1
AMRITA UNIVERSITY,1
BRILLIANT INSTITUTE OF TECHNOLOGY,1
GANDHI INSTITUTE IF TECHNOLOGY AND MANAGEMENT,1
INFOSYS,1
BRILLIANT GRAMMAR SCHOOL EDUCATIONAL SOCIETY'S GROUP OF INSTITUTIONS-INTEGRATED CAMPUS,1
ANU UNIVERSITY,1
EAST WEST INSTITUTE OF TECHNOLOGY,1
GENPACT PVT LTD,1
BVC ENGINEERING COLLEGE,1
NATIONAL COLLEGE OF IRELAND,1
FLORIDA ATLANTIC UNIVERSITY,1
S J C INSTITUTE OF TECHNOLOGY,1
ST JOSEPH'S DEGREE AND PG COLLEGE,1
MURRAY STATE UNIVERSITY,1
BRADLEY UNIVERSITY,1
HUMANA,1
ANDHRA UNIVERSITY ( GVPCE),1
BRILLIANT GROUPS OF INSTITUTIONS AND TECHNOLOGY,1
CHICAGO STATE UNIVERSITY,1
PRIYADARSHINI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,1
G.NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCE (AFFILIATED WITH JNTUH),1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,RK VALLEY",1
"SAHYADRI COLLEGE OF ENGINEERING AND MANAGEMENT, MANGALORE",1
GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT(GITAM) BENGALURU,1
MALLA REDDY INSTITUTE OF TECHNOLOGY HYDERABAD,1
MADANAPALLI INSTITUTE OF TECHNOLOGY AND SCIENCE,1
VIGNAN'S NIRULA INSTITUTE OF TECHNOLOGY AND SCIENCE FOR WOMEN,1
EXPERIAN,1
SRI VENKATESWARA UNIVERSITY TIRUPATI,1
SAILS SOFTWARE SOLUTIONS,1
KESHAV MEMORIAL INSTITUTE OF TECHNOLOGY (JNTUH),1
"CMR TECHNICAL CAMPUS, KANDLAKOYA, HYDERABAD",1
CENTRAL UNIVERSITY OF KARNATAKA,1
VIKAS GROUP OF INSTITUTIONS,1
UCD,1
LAKKIREDDY BALIREDDY COLLEGE OF ENGINEERING,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY,1
RGUKT-BASAR,1
VTU BELGAUM,1
JNTHU,1
IIIT BASAR,1
AVANTHI ENGINEERING COLLEGE,1
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITIES OF HYDERABAD,1
"MATRUSRI ENGINEERING COLLEGE,SAIDABAD,HYDERABAD",1
COLLEGE : AMRITA VISHWA VIDYAPEETHAM,1
KRISHNA UNIVERSITY MACHILIPATNAM,1
COVENTRY UNIVERSITY,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, IIIT BASAR",1
ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCE RAJAMPET,1
JKC COLLEGE GUNTUR,1
G NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCE FOR WOMEN,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,BASAR",1
SOCIAL PRACHER,1
ARIZONA STATE UNIVERSIY,1
"ICFAI UNIVERSITY , HYDERABAD",1
MALLA REDDY ENGRIEENG COLLEGE FOR WOMEN,1
MARRI LAXMAN REDDY INSTITUTE OF TECHNOLOGY AND MANAGEMENT(MLRITM),1
VISVESWARAYA TECHNOLOGICAL UNIVERSITY BELAGAVI,1
WIPRO,1
TORRENS UNIVERSITY,1
"EX AMAZON, WIPRO, HSBC",1
"NATIONAL INSTITUTE OF TECHNOLOGY , DURGAPUR",1
MASTERS GRADUATE,1
CGI,1
NIT DELHI,1
.,1
MAHAVEER INSTUITE OF SCIENCE AND TECHNOLOGY,1
S.V.DEGREE COLLEGE,1
CHHS,1
SRI VASAVI GMR DEGREE COLLEGE,1
MALLAREDY COLLEGE,1
VASIREDDY VENKATDRI INSTITUTE TECHNOLOGY,1
EY,1
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD UNIVERSITY COLLEGE OF ENGINEERING JAGTIAL,1
VFX INDUSTRY,1
BBCIT,1
BRN INFO TECH,1
DVR AND DR HS MIC COLLAGE OF TECHNOLOGY,1
LAKKIREDDY BALI REDDY COLLEGE OF ENGINEERING,1
AVANTHI'S SCIENTIFIC TECHNOLOGICAL AND RESEARCH ACADEMY,1
MARRI LAXMAN REDDY INSTITUTE OF TECHNOLOGY AND MANGEMENT,1
MINDLER,1
JNTUA COLLEGE OF ENGINEERING ANANTAPURAMU,1
AUDISANKARA INSTITUTE OF TECHNOLOGY,1
MYBIZZERP,1
"KAKATIYA INSTITUTE OF TECHNOLOGY AND SCIENCE, WARANGAL",1
SWARNA BHARATHI INSTITUTE OF SCIENCE AND TECHNOLOGY,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES - RKVALLEY,1
LOVELY PROFESSSIONAL UNIVERSITY,1
MALLAREDDY ENGINEERING COLLAGE FOR WOMEN,1
KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,1
ORACLE INDIA PVT LTD,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOOGIES, BASAR",1
"ASSAM UNIVERSITY, SILCHAR",1
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RANCHI,1
LAKKIREDDY BALIREDDY COLLEGE OF ENGINEERING AND TECHNOLOGY,1
MARYVILLE UNIVERSITY,1
BLEKINGE INSTITUTE OF TECHNOLOGY,1
RAMACHANDRA COLLEGE OF ENGINEERING VATLUR,1
VARMANI PRIYADARSHINI,1
NARASARAOPET ENGINEERING COLLEGA,1
BCBST,1
G. NARAYANAMMA INSTITUTE OF TECHNOLOGY ANS SCIENCE,1
SAVEETHA INSTITUTION OF MEDICAL AND TECHNICAL SCIENCES,1
RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING,1
DR LANKAPALLI BULLAYYA COLLEGE OF ENGINEERING,1
CMR UNIVERSITY,1
SR&BGNR COLLEGE KHAMMAM,1
"INSTITUTE OF INFORMATICS AND COMMUNICATION, UNIVERSITY OF DELHI",1
SILVER OAKS INTERNATIONAL SCHOOL,1
DMSS,1
Q2 SOFTWARE,1
SIRCRREDDY COLLEGE OF ENGINEERING,1
SASI INTSITUTE OF TECHNOLOGY AND ENGINEERING,1
MALLA REDDY COLLAGE OF ENGINEERING FOR WOMEN,1
NAGA IT SOLUTIONS LTD,1
DR MGR UNIVERSITY,1
SREENIDHI INSTITUTE OF SCIENCE AND TECHNOLOGY(SNIST),1
"CHANAKYA UNIVERSITY, BENGALURU",1
ANDERSON UNIVERSITY SOUTH CAROLINA USA,1
JAYAMUKHI INSTITUE OF TECHNOLOGY AND SCIENCES,1
AVINASH COMMERCE OF COLLAGE,1
ACHARYA N G RANGA AGRICULTURAL UNIVERSITY,1
"LNMIIT, JAIPUR",1
"VELLORE INSTITUTE OF TECHNOLOGY, CHENNAI",1
TECHMAHINDRA,1
INDIAN INSTITUTE OF TECHNOLOGY INDORE,1
UNIVERSITY OF MISSOURI KANSAS CITY,1
WEBSTER UNIVERSITY,1
RGUKT - SRIKAKULAM,1
10KINFO DATA SOLUTIONS,1
SRI INDU ENGINEERING AND TECHNOLOGY,1
ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCE KADAPA,1
SIR M VISVESVARAYA COLLGE OF ENGINEERING,1
SREE RAMA ENGINEERING COLLEGE,1
INDEPENDENT RESEARCHER,1
ST.MARY'S INTEGRATED CAMPUS HYDERABAD,1
MALINENI LAKSHMAIAH WOMEN'S ENGINEERING COLLEGE,1
SIDDHARTH EDUCATION ACADEMY GROUP OF INSTITUTIONS,1
HOUSEWIFE,1
UNIVERSITY OF HERTFORDSHIRE,1
NITHIN KUMAR KODIPYAKA,1
BVC INSTITUTE OF TECHNOLOGY AND SCIENCE AMALAPURAM,1
COLLEGE : JBIET,1
PRINCETON INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,1
MALLA REDDY ENGINEERING COLLEGE ( MAIN CAMPUS),1
KBN PG CENTER,1
VEL TECH RANGARAJAN DR. SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY,1
AMRITA UNIVERSITY COIMBATORE,1
SREE VAHINI INSTITUTE OF SCIENCE AND TECHNOLOGY (3RD YEAR STUDENT),1
INSTITUTE OF PUBLIC ENTERPRISE,1
VIGNAN BHARATHI INSTUATION OF TECHNOLOGY,1
LAKI REDDY BALI REDDY COLLEGE OF ENGINEERING,1
AAR MAHAVEER ENGINEER COLLEGE,1
APPLITECH TECHNOLOGIES,1
ADITYA DEGREE COLLEGE FOR WOMEN RAJAHMUNDRY,1
GODAVARI INSTITUTE OF ENGINEERING & TECHNOLOGY,1
SIDDHARTHA INSTITUTE OF ENGINEERING & TECHNOL,1
JNTUH COLLEGE OF ENGINEERING MANTHANI,1
DIGITALOPS,1
GMRIT,1
UNIVERSITY OF ALABAMA AT BIRMINGHAM,1
"AMRITA VISHWA VIDYAPEETHAM, BANGALORE",1
NB SCIENCE &PG COLLEGE,1
UNIVERSITY OF OTTAWA,1
GAYATRI DEGREE & PG COLLEGE,1
MASTERJI DEGREE COLLEGE,1
HCL IT,1
JNTUA COLLEGE OF ENGINEERING ANANTAPUR,1
ATRIA INSTITUTE OF TECHNOLOGY,1
BRILLIO TECHNOLOGY,1
PARULUNIVERSITY,1
DR BR AMBEDKAR UNIVERSITY,1
SJM INSTITUTE OF TECHNOLOGY,1
"SRI VENKATESWARA UNIVERSITY COLLEGE OF ENGINEERING, TIRUPATI",1
MOTHER TERESA INSTITUTE OF SCIENCE AND TECHNOLOGY,1
"SIDDHARTHA INSTITUTE OF ENGINEERING & TECHNOLOGY, HYDERABAD",1
SRIDEVI WOMENS ENGINEERING,1
GEETANJALI COLLEGE OF ENGINEERING,1
"GEETHANJALI COLLEGE OF ENGINEERING AND TECHNOLOGY, (GCET HYDERABAD)",1
RUTGERS UNIVERSITY NEW BRUNSWICK,1
JNTIH,1
VELLORE INSTITUTE OF TECHNOLOGY ANDHRA PRADESH,1
ANNA UNIVERSITY,1
MARIS STELLA COLLEGE,1
TEXAS A&M UNIVERSITY,1
EAST POINT COLLEGE OF ENGINEERING AND TECHNOLOGY,1
MALLAREDDY COLLEGE OF ENINGEERING AND TECHNOLOGY,1
UNIVERSITY OF DELAWARE,1
SREE CHAITANYA INSTITUTION OF TECHNOLOGICAL SCIENCES,1
C M R INSTITUTE OF TECHNOLOGY,1
GEORGIA INSTITUTE OF TECHNOLOGY,1
"JSS ACADEMY OF TECHNICAL EDUCATION,BANGALORE",1
ASCENCIA MALTA BUSINESS SCHOOL,1
TALLA PADMAVATHI ENGINEERING COLLEGE,1
"MANIPAL INSTITUTE OF TECHNOLOGY, MANIPAL",1
SAROJINI NAIDU VANITA MAHA VIDYALAYA,1
JSS COLLEGE FOR WOMEN CHAMARAJANAGAR,1
"NARAYANA ENGINEERING COLLEGE, NELLORE",1
ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES -RAJAMPETA,1
FLORIDA INTERNATIONAL UNIVERSITY,1
GANDHI INSTITUTE OF F TECHNOLOGY AND MANAGEMENT (GITAM),1
NRIIT,1
SRI SAIRAM COLLEGE OF ENGINEERING,1
SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING,1
"INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR",1
IITH,1
MAHAVEER INSTITUTE OF SCIENCE AND TECHNOLOGY (JNTUH AFFILIATED),1
RAJARAJESWARI COLLEGE OF ENGINEERING,1
"KSSEM,VTU",1
ST MARY'S GROUP OF INSTITUTIONS HYDERABAD,1
JNTU-GV,1
"NATIONAL INSTITUTE OF TECHNOLOGY WARANGAL, NITW",1
INDIANA UNIVERSITY BLOOMINGTON,1
JCT COLLEGE OF ENGINEERING AND TECHNOLOGY,1
NIT ANDHRA,1
GGC,1
INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR,1
NATIONAL INSTITUTE OF TECHNOLOGY ANDHRAPRADESH,1
NOT THERE,1
SWAMINARAYAN GURUKUL INTERNATIONAL SCHOOL,1
VASAVI COLLEGE OF ENGINEERING AFFILIATED TO OU,1
ADIKAVI NANNAYYA UNIVERSITY,1
GITAM HYDERABAD ( GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT),1
SNS COLLEGE OF ENGINEERING,1
"B V RAJU INSTITUTE OF TECHNOLOGY , NARSAPUR",1
LAKIREDDY BALIREDDY COLLEGE OF OF ENGINEERING,1
VEL TECH TECHNICAL UNIVERSITY,1
CHALAWADA RAMANAMMA ENGINEERING COLLEGE,1
JNTUA COLLEGE OF ENGINEERING,1
"JNTUH COLLEGE OF ENGINEERING,SULANTANPUR",1
GOKARAJU RANGARAJU INSTITUTE OF TECHNOLOGY AND ENGINEERING,1
BIZGAZE LIMITED,1
GOWRA AEROSPACE TECHNOLOGIES PRIVATE LIMITED,1
"VELLORE INSTITUTE OF TECHNOLOGY, AMARAVATI",1
NARAYANA ENGINEERING COLLEGE NELLORE,1
SOLERA INC,1
"CAPGEMINI - USED TO WORK UNTIL OCT 2024, CURRENTLY UNEMPLOYED",1
BYTE QODE DIGITALS PVT LTD,1
"B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR",1
TECH OPTIMA PRIVATE LIMITED,1
SIDDHARTH INSTITUTE OF ENGINEERING AND TECHNOLOGY,1
MVGR COLLEGE OF ENGINEERING -VZM,1
GEETHANGALI INSTITUTE OF SCIENCE AND TECHNOLOGY NELLORE,1
ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,1
DIVINCI INNOVATIVE SOLLUTIONS,1
QUIXY,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES -NUZVID,1
IFHE HYDERABAD,1
"UNIVERSITY COLLEGE ENGINEERING,OSMANIA UNIVERSITY",1
GEETHANJALI INSTITUATIO OF SCIENCE AND TECHNOLOGY AFFLIATED WITH JNTUA,1
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,1
AMITY UNIVERSITY MUMBAI,1
DIRECTV,1
UCLA,1
BUCHAPALLI VENKAYAMMA SUBBAREDDY ENGINEERING COLLEGE,1
GODAVRI INSTITUDE COLLEGE,1
9553277602,1
STUDENT AT RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES,1
SR.ENGINEERING COLLEGE,1
RAGHU ENGINEERING COLLEGE AFFILIATED BY JNTV,1
NIT JALANDHAR,1
SIDDHARTHA INSTITUTE OF SCIENCE AND TECHNOLOGY,1
MOODLAKATTE INSTITUTE OF TECHNOLOGY KUNDAPURA,1
"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTPUR",1
BHARATIYA ENGINEERING SCIENCE AND TECHNOLOGY INNOVATION UNIVERSITY,1
BEST INNOVATION UNIVERSITY,1
A M REDDY MEMORIAL COLLEGE OF ENGINEERING &TECHNOLOGY,1
GOKARAJU LAILAVATHI WOMEN'S ENGINEERING COLLEGE,1
LOYOLA ACADEMY SECUNDRABAD,1
"VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING COLLEGE (VRSEC), VIJAYAWADA",1
NIT AP,1
ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCE RAJAMPETA,1
ASCENDION ENGINEERING VT LTD,1
JNTUA(VEMU INSTITUTE OF TECHNOLOGY),1
GAYATRI DEGREE COLLEGE,1
UNIVERSAL COLLEGE OF ENGINEERING AND TECHNOLOGY,1
"FLORIDA ATLANTIC UNIVERSITY, GURU NANAK INSTITUTIONS TECHNICAL CAMPUS",1
RGUKT RK VALLEY,1
DR PAULRAJ ENGINEERING COLLEGE,1
NORTH CAROLINA STATE UNIVERSITY,1
"KAKATIYA INSTITUTION OF TECHNOLOGY, YERRAGATTU GUTTA, HASANPARTHY, WARANGAL",1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES(BASAR),1
UNIVERSITY OF LEICESTER,1
"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, HYDERABAD, TELANGANA",1
GOKARAJU RANGARAJU INSTITUDE OF ENGINERING AND TECHNOLOGY,1
AURORA’S TECHNOLOGICAL & RESEARCH INSTITUTE,1
SRINIVAS UNIVERSITY COLLEGE OF ENGINEERING,1
SRM EASWARI ENGINEERING COLLEGE,1
A.S.N DEGREE COLLEGE,1
ANNAMACHARYA INSTITUTE OF SCIENCE AND TECHNOLOGY,1
DRKIST,1
VIVIDMINDS,1
SELECTSYS,1
THARKA DIGITAL PVT LTD,1
DVR & DR HS MIC COLLEGE OF TECHNOLOGY,1
"SRI VENKATESHWARA COLLEGE OF ENGINEERING, BENGALURU",1
ANDHRA UNIVERSITY COLLEGE OF ENGINEERING VISAKHAPATNAM,1
OSMANI UNIVERSITY PG COLLEGE,1
INTERNATIONAL SCHOOL OF TECHNOLOGY AND SCIENCE FOR WOMEN,1
GO IT BUILDERS,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY,BASAR",1
GOKARAJU LAILAVATHI WOMENS ENGINEERING COLLEGE ( AFFILIATED TO OSMANIA UNIVERSITY ),1
PBR VITS,1
AMRITA SAI INSTITUTE OF TECHNOLOGY,1
ISTS WOMEN'S ENGINEERING COLLEGE,1
"VIGNAN'S FOUNDATION FOR SCIENCE, TECHNOLOGY & RESEARCH IS A DEEMED UNIVERSITY IN THE GUNTUR DISTRICT IN ANDHRA PRADESH, INDIA.",1
"GITAM INSTITUTE OF TECHNOLOGY, BENGALURU",1
"SRI VENKATESHWARA UNIVERSITY COLLEGE OF ENGINEERING, TIRUPATI",1
SRI CHAITANYA,1
"VAAGDEVI ENGINEERING COLLEGE ,JNTUH",1
R.V.R &JC COLLEGE OF ENGINEERING,1
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY - VIZIANAGARAM (JNTU-V),1
RGUKT,1
JNTUH(MALLAREDDY COLLEGE OF ENGINEERING FOR WOMEN),1
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY NAGPUR,1
ST ANNS COLLEGE OF ENGINEERING AND TECHMOLOGY,1
MALLAREDDY COLLEGE OF ENGINERING AND TECHNOLOGY,1
CAMBRIDGE INSTITUTE OF TECHNOLOGY,1
NIMMA SECURITY PRIVATE LIMITED,1
EASWARI ENGINEERING COLLEGE,1
SAVEETHA UNIVERSITY,1
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY ALLAHABAD,1
B V RAJU COLLEGE,1
JNTU SULTHANPUR,1
JSSATE BANGLORE,1
KESHAV MEMORIAL COLLEGE OF ENGINEERING KMCE,1
UNIVERSITY OF MICHIGAN-DEARBORN,1
CARGILL BUSINESS SERVICES,1
GOKARAJU RANGARAJU INSTITUTE ENGENEERING AND TECHNOLOGY,1
SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCES,1
TEKEDGE SOLUTIONS,1
SRI DURGA MALLESWARA SIDDHARTHA MAHILA KALASALA,1
P.E.S COLLEGE OF ENGINEERING,1
DMSSVH ENGINEERING COLLEGE,1
GVR & S COLLEGE OF ENGINEERING AND TECHNOLOGY (AFF. JNTUK),1
